species,group,family,genus,have.tf,acc,sources.n,cases.n,infant.n,single.n,twin.n,triplet.n,inf.info,inf.live,inf.still,inf.comp,case.death,death.prop,vertex.n,face.n,brow.n,face.prop,ass.T,ass.F,ass.prop,con.ass.T,con.ass.F,con.prop,CPP,CPP.gencat
Alouatta_belzebul,NWM,Atelidae,Alouatta,T,,1,2,2,2,0,0,2,2,0,0,0,0,0,0,0,,1,0,1,0,2,0,NA,unknown
Alouatta_caraya,NWM,Atelidae,Alouatta,T,,1,4,4,4,0,0,4,4,0,0,0,0,0,0,0,,3,0,1,0,4,0,NA,unknown
Alouatta_guariba,NWM,Atelidae,Alouatta,T,,2,2,2,2,0,0,2,1,0,1,1,0.5,0,0,0,,1,0,1,0,0,,NA,unknown
Alouatta_palliata,NWM,Atelidae,Alouatta,T,,3,3,3,3,0,0,3,3,0,0,0,0,1,0,0,0,2,1,0.6666666667,0,2,0,NA,unknown
Alouatta_pigra,NWM,Atelidae,Alouatta,T,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,NA,unknown
Alouatta_seniculus,NWM,Atelidae,Alouatta,T,NC_027825.1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,,NA,unknown
Ateles_fusciceps,NWM,Atelidae,Ateles,T,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,1,0,1,0,0,,NA,high
Callithrix_jacchus,NWM,Callitrichidae,Callithrix,T,NC_025586,4,25,59,3,10,12,56,48,7,2,8,0.1607142857,21,0,0,0,1,22,0.04347826087,0,5,0,1.23,extreme
Cebuella_pygmaea,NWM,Callitrichidae,Cebuella,T,MZ747454.1 ,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,NA,unknown
Cercocebus_galeritus,OWM,Cercopithecidae,Cheracebus,T,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,0,1,0,NA,unknown
Cercopithecus_campbelli,OWM,Cercopithecidae,Cercopithecus,T,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,1,0,1,0,0,,NA,unknown
Cercopithecus_mitis,OWM,Cercopithecidae,Cercopithecus,T,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,NA,unknown
Cercopithecus_mona,OWM,Cercopithecidae,Cercopithecus,T,,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,,NA,unknown
Cercopithecus_neglectus,OWM,Cercopithecidae,Cercopithecus,T,MW160353.1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,1,0,1,0,0,,NA,unknown
Chlorocebus_aethiops,OWM,Cercopithecidae,Chlorocebus,T,,2,2,2,2,0,0,2,1,0,1,1,0.5,0,0,0,,0,1,0,0,0,,NA,unknown
Chlorocebus_pygerythrus,OWM,Cercopithecidae,Chlorocebus,T,,2,2,2,2,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,unknown
Colobus_guereza,OWM,Cercopithecidae,Colobus,T,AY863427,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,1,0,1,0,1,0,0.5,low
